Modelo,Acuracia_media,Acuracia_std,Precisao_media,Precisao_std,Recall_media,Recall_std,F1_media,F1_std
Regressao Logistica,0.8398907103825137,0.04371926216168221,0.8297763513468868,0.04197312085945458,0.8878787878787879,0.05704164809493132,0.8568428117578962,0.04001120441251284
Arvore de Decisao,0.7590163934426231,0.048288823191509005,0.7810320117279129,0.05578309458994108,0.7767676767676766,0.07019293597208763,0.7765689801252559,0.04495015255939791
Random Forest,0.8273224043715847,0.03352538065612669,0.8249754944850056,0.03906289503063567,0.8676767676767677,0.053915176343767746,0.8443550918522955,0.03059670599011284
SVM,0.8333333333333334,0.03949954178907366,0.8283746788001256,0.05429539971614834,0.8787878787878788,0.047592803997534315,0.8511601769393355,0.034065054809455285
KNN,0.8349726775956283,0.038313766432695295,0.8231869188448135,0.04415890914664594,0.8878787878787879,0.0392382315142526,0.8535879849767883,0.033325202664896414
